Station_Id,name,,,latitude,longitude
1,10th & Monroe St NE , Washington, DC,38.93249,-76.992619
2,10th & U St NW,  Washington, DC,38.91701,-77.025959
3,10th St & Constitution Ave NW, Washington, DC,38.892082,-77.02599
4,11th & H St NE, Washington, DC,38.90019,-76.991529
5,11th & Kenyon St NW, Washington, DC,38.9297,-77.027729
6,12th & L Street NW, Washington, DC,38.9037394,-77.0280934
7,12th & Newton St NE,  Washington, DC,38.93352,-76.991069
8,13th & D St NE, Washington, DC,38.89477,-76.988289
9,13th & H St NE, Washington, DC,38.90018,-76.988309
10,13th St & New York Ave NW, Washington, DC,38.9002912,-77.0295883
11,14th & D St NW/Ronald Reagan Building, Washington, DC,38.8946211,-77.0319546
12,14th & D St SE, Washington, DC,38.88411,-76.985509
13,14th & G St NW, Washington, DC,38.8983151,-77.0319301
14,14th & Harvard NW, Washington, DC,38.92658,-77.032419
15,14th & R St NW, Washington, DC,38.9126061,-77.0319494
16,14th & Rhode Isl& Ave NW, Washington, DC,38.9088354,-77.0319462
17,14th & V St NW, Washington, DC,38.9181132,-77.0319544
18,14th & Spring Rd, Washington, DC,38.9371,-77.032749
19,14th St. Heights/14th & Crittenden St NW, Washington, DC,38.94717,-77.032729
20,15th & P St NW, Washington, DC,38.9096506,-77.0345573
21,15th St & Massachusetts Avenue SE, Washington, DC,38.88713,-76.983659
22,16th & Harvard St NW, Washington, DC,38.9262766,-77.0364703
23,17th & Corcoran, Washington, DC,38.9118701,-77.0384855
24,17th & K St NW/Farragut Square , Washington, DC,38.9025183,-77.0394561
25,17th & L Street NW, Washington, DC,38.9037,-76.980059
26,17th & Rhode Isl& Ave NW, Washington, DC,38.906544,-77.038501
27,18th & M St NW,  Washington, DC,38.9056568,-77.0416876
28,18th St & Pennsylvania Ave NW, Washington, DC,38.8995833,-77.0416943
29,19th & E Street NW, Washington, DC,38.8961,-76.977239
30,19th & East Capitol St SE, Washington, DC,38.88982,-76.977269
31,19th & K Street NW, Washington, DC,38.90187,-77.043454
32,19th & L St NW, Washington, DC,38.9037478,-77.0434709
33,19th St & Constitution Ave NW, Washington, DC,38.8921176,-77.043486
34,19th St & Pennsylvania Ave NW, Washington, DC,38.9002076,-77.0434741
35,1st & K St SE, Washington, DC,38.87839,-77.005869
36,1st & M Street NE, Washington, DC,38.90561,-77.005869
37,1st & N ST SE, Washington, DC,38.87463,-77.005849
38,1st & Rhode Island Ave NW, Washington, DC,38.91577,-77.012149
39,1st & Washington Hospital Center NW, Washington, DC,38.9289367,-77.0131141
40,20th & E St NW, Washington, DC,38.895421,-77.0449197
41,20th & L Street NW, Washington, DC,38.9037457,-77.0449144
42,20th & O Street NW/Dupont South, Washington, DC,38.9085727,-77.0448996
43,20th St & Florida Ave NW, Washington, DC,38.9151073,-77.044913
44,21st & I St NW, Washington, DC,38.900693,-77.0466465
45,21st & M St NW, Washington, DC,38.9056284,-77.0466468
46,21st & Pennsylvania Avenue NW, Washington, DC,38.9013166,-77.046647
47,25th St & Pennsylvania Ave NW, Washington, DC,38.9036794,-77.0532984
48,34th St & Wisconsin Ave NW, Washington, DC,38.91605,-77.068019
49,36th & Calvert St NW/Glover Park , Washington, DC,38.92254,-77.070849
50,37th & O St NW/Georgetown University , Washington, DC,38.90768,-77.071609
51,39th & Calvert St NW , Washington, DC,38.92255,-77.077879
52,3rd & D St SE, Washington, DC,38.88507,-77.002019
53,3rd & G SE, Washington, DC,38.88128,-77.002029
54,3rd & H St NE, Washington, DC,38.90021,-77.002039
55,4th & D St NW/Judiciary Square, Washington, DC,38.89476,-77.016169
56,4th & E St SW, Washington, DC,38.88324,-77.017549
57,4th & East Capitol St NE, Washington, DC,38.88982,-77.000569
58,4th & M St SW, Washington, DC,38.87648,-77.000549
59,4th St & Massachusetts Ave NW, Washington, DC,38.90017,-77.016169
60,4th & Rhode Isl& Avenue NE, Washington, DC,38.91982,-77.000549
61,5th & F St NW, Washington, DC,38.89734,-77.018939
62,5th St & K St NW, Washington, DC,38.90253,-77.018919
63,6th & H St NE, Washington, DC,38.90021,-76.998419
64,7th & F St NW/National Portriat Gallery , Washington, DC,38.89728,-77.021909
65,7th & R St NW/Shaw Library, Washington, DC,38.91261,-77.021929
66,7th & T St NW, Washington, DC,38.91556,-77.021939
67,7th & Water St SW , Washington, DC,38.8783,-77.023109
68,8th & Eye St SE , Washington, DC,38.8792668,-76.9949742
69,8th & H St NW, Washington, DC,38.89982,-77.022859
70,9th & Upshur St NW, Washington, DC,38.94189,-77.025059
71,Adams Mill & Columbia Rd NW, Washington, DC,38.9226795,-77.0426674
72,Anacostia Ave & Benning Rd NE, Washington, DC,38.89699,-76.960259
73,Anacostia Library, Washington, DC,38.8656755,-76.9789908
74,Anacostia Metro, Washington, DC,38.864047,-76.997488
75,Benning Branch Library, Washington, DC,38.894099,-76.947765
76,Benning Rd & East Capitol St NE/Benning Rd. Metro , Washington, DC,38.8898952,-76.9375948
77,Bladensburg Rd & Benning Rd NE, Washington, DC,38.90015,-76.983359
78,Branch & Pennsylvania Ave SE, Washington, DC,38.869077,-76.960063
79,C & O Canal & Wisconsin Ave NW, Washington, DC,38.9038422,-77.0627724
80,California St & Florida Ave NW, Washington, DC,38.9177788,-77.0404218
81,Calvert St & Woodley Pl NW, Washington, DC,38.92345,-77.050209
82,Columbia Rd & Belmont St NW, Washington, DC,38.92057,-77.043939
83,Columbia Rd & Georgia Ave NW, Washington, DC,38.92813,-77.023079
84,Columbus Circle / Union Station, Washington, DC,38.8973131,-77.0047476
85,Congress Heights Metro, Washington, DC,38.8446138,-76.9890402
86,Connecticut Ave & Newark St NW , Washington, DC,38.93407,-77.057649
87,"7th & M St NW, Washington, DC",,,38.90564,-77.021899
88,D Street & Maryl& Avenue NE, Washington, DC,38.89478,-76.996579
89,7th & North Carolina Ave SE, Washington, DC,38.88742,-76.996149
90,Pennsylvania Ave & 7th St SE, Washington, DC,38.88458,-76.996159
91,Fairfax Village,,,38.865676,-76.952145
92,Eckington Pl & Q St NE, Washington, DC,38.91109,-77.004779
93,Florida Ave & R St NW, Washington, DC,38.91262,-77.013299
94,Georgetown Harbor/30th St NW, Washington, DC,38.902285,-77.058599
95,Georgia & New Hampshire Ave NW, Washington, DC,38.9362496,-77.0242799
96,Georgia Ave & Fairmont St NW, Washington, DC,38.92517,-77.022669
97,Good Hope & Naylor Rd,  Washington, DC,38.8612,-76.969359
98,Good Hope & 14th Street SE, Washington, DC,38.866775,-76.985504
99,Good Hope & MLK,,,38.8674403,-76.9886086
100,Harvard St & Adams Mill Rd NW, Washington, DC,38.92753,-77.042609
101,Idaho Avenue & Newark Street NW, Washington, DC,38.9351054,-77.0739748
102,Jefferson Drive & 14th Street SW, Washington, DC,38.88861,-77.031959
103,Jefferson Memorial, Washington, DC,38.88118,-77.036407
104,John McCormack Rd & Michigan Ave NE, Washington, DC,38.9335,-76.995359
105,Kennedy Center, Washington, DC,38.89606,-77.055198
106,"7th & C St SW, Washington, DC",,,38.88559,-77.021899
107,Lamont & Mt Pleasant NW, Washington, DC,38.93115,-77.038319
108,13th & East Capitol St NE, Washington, DC,38.89022,-76.988289
109,M St & New Jersey Ave SE, Washington, DC,38.87649,-77.004179
110,M St & Pennsylvania Avenue NW, Washington, DC,38.9052288,-77.05796
111,Maryland Avenue & Independence SW, Washington, DC,38.88757,-77.018829
112,Massachusetts Ave & Dupont Circle NW, Washington, DC,38.90992,-77.044179
113,McPherson Square-14th & H St NW, Washington, DC,38.895815,-77.031949
114,12th & G St NW, Washington, DC,38.896745,-77.028064
115,Minnesota Ave Metro, Washington, DC,38.8952081,-76.9490852
116,New Hampshire Avenue & T Street NW, Washington, DC,38.9156,-77.037889
117,New York Ave & 15th St NW, Washington, DC,38.8988543,-77.0336504
118,North Capitol St & F St NW, Washington, DC,38.89732,-77.009039
119,Ohio Drive & West Basin Drive SW, Washington, DC,38.88377,-77.046379
120,Park Rd & Holmead Pl NW, Washington, DC,38.93093,-77.030869
121,Pennsylvania Ave SE & Minnesota SE, Washington, DC,38.87391,-76.971379
122,Potomac & Pennsylvania Ave SE, Washington, DC,38.880134,-76.983409
123,Randle Circle & Minnesota Ave NE, Washington, DC,38.8785406,-76.9611286
124,Jefferson Drive & 12th Street SW, Washington, DC,38.88866,-77.028179
125,Wisconsin Ave & Albemarle St NW, Washington, DC,38.9479287,-77.0796836
126,Thomas Circle, Washington, DC,38.9057325,-77.0318885
127,US Dept of State / Virgina Ave & 21st St NW, Washington, DC,38.8952381,-77.0466679
128,12th & Independence Ave SW, Washington, DC,38.88757,-77.027929
129,Van Ness Metro , Washington, DC,38.9449376,-77.0651709
130,Ward Circle , Washington, DC,38.938233,-77.085627
131,White House, Washington, DC,38.8964042,-77.0394735
132,3000 Connecticut Ave NW, Washington, DC,38.929939,-77.055247
